cr, increment, orig_acc, eda_acc, aeda_acc, num_acc, alpha_acc, hybrid_acc

trec, increment, orig_acc, eda_acc, aeda_acc, num_acc, alpha_acc, hybrid_acc
trec, 0.01, 0.424, 0.49, 0.298, 0.292, 0.388, 0.354
trec, 0.05, 0.574, 0.634, 0.604, 0.68, 0.632, 0.668
trec, 0.1, 0.712, 0.716, 0.714, 0.754, 0.784, 0.746
trec, 0.2, 0.564, 0.564, 0.782, 0.778, 0.802, 0.818
trec, 0.3, 0.678, 0.694, 0.836, 0.822, 0.832, 0.78
trec, 0.4, 0.79, 0.6, 0.832, 0.846, 0.842, 0.872
trec, 0.5, 0.832, 0.658, 0.862, 0.866, 0.858, 0.862
trec, 0.6, 0.866, 0.694, 0.88, 0.896, 0.86, 0.872
trec, 0.7, 0.83, 0.592, 0.888, 0.878, 0.894, 0.902
trec, 0.8, 0.88, 0.734, 0.87, 0.882, 0.878, 0.908
trec, 0.9, 0.854, 0.756, 0.902, 0.896, 0.896, 0.884
trec, 1, 0.872, 0.656, 0.916, 0.876, 0.888, 0.912

pc, increment, orig_acc, eda_acc, aeda_acc, num_acc, alpha_acc, hybrid_acc
pc, 0.01, 0.8341370995521874, 0.8473992421632793, 0.837237340682053, 0.8401653461935928, 0.8405098174302446, 0.8492938339648639
pc, 0.05, 0.8846021357216672, 0.8728901136755081, 0.8782294178436101, 0.8802962452635205, 0.8792628315535653, 0.8825353083017567
pc, 0.1, 0.8892524974164657, 0.8635893902859111, 0.8842576644850155, 0.8875301412332071, 0.8852910781949708, 0.8864967275232518
pc, 0.2, 0.8940750947295901, 0.8899414398897693, 0.899414398897692, 0.8990699276610403, 0.90199793317258, 0.9033758181191871
pc, 0.3, 0.9038925249741646, 0.8992421632793661, 0.9090595935239407, 0.9133654839820875, 0.9099207716155701, 0.9080261798139855
pc, 0.4, 0.9092318291422666, 0.8999311057526697, 0.9162934894936273, 0.9130210127454358, 0.9138821908370651, 0.9174991388219084
