Dataset,Increment,Orig_Acc,Eda_Acc,Aeda_Acc,Num_Acc,Alpha_Acc,Hybrid_Acc
subj,0.6,0.9114000000000001,0.9109999999999999,0.9162000000000001,0.9214,0.9202,0.9218
subj,0.7,0.915,0.9136000000000001,0.9194000000000001,0.9238,0.9224,0.9196
subj,0.8,0.9174,0.9158000000000002,0.9238,0.9269999999999999,0.9242000000000001,0.9252
subj,0.9,0.9176,0.9156000000000001,0.9262,0.9218,0.9269999999999999,0.9276
subj,1.0,0.9192,0.9272,0.9216000000000001,0.9248000000000001,0.9280000000000002,0.931
trec,0.01,0.4008,0.44559999999999994,0.3484,0.3096,0.388,0.392
trec,0.05,0.6172,0.5912,0.6632,0.6516,0.6048,0.6679999999999999
trec,0.1,0.6844,0.6776,0.7203999999999999,0.7256,0.7468,0.738
trec,0.2,0.7016,0.6355999999999999,0.7908000000000001,0.7988,0.796,0.8008
trec,0.3,0.7847999999999999,0.6852,0.8288,0.8300000000000001,0.8251999999999999,0.826
trec,0.4,0.8131999999999999,0.6224000000000001,0.8412,0.8552,0.834,0.8535999999999999
trec,0.5,0.8472,0.6996,0.8532,0.8608,0.8484,0.8576
trec,0.6,0.8395999999999999,0.6696,0.8708,0.8868,0.8652,0.8872
trec,0.7,0.8484,0.6016,0.8816,0.8792,0.8824,0.8855999999999999
trec,0.8,0.8576,0.6384000000000001,0.8824,0.8964000000000001,0.8844,0.8972
trec,0.9,0.8640000000000001,0.5964,0.8932,0.8964000000000001,0.8907999999999999,0.8859999999999999
trec,1.0,0.8720000000000001,0.6572,0.9044000000000001,0.9032,0.8948,0.89
pc,0.01,0.8377540475370306,0.8495349638305202,0.8348949362728213,0.8448157078883913,0.8442990010334137,0.8399242163279366
pc,0.05,0.8777816052359627,0.865346193592835,0.8809507406131589,0.8809162934894935,0.8826386496727523,0.8826730967964174
pc,0.1,0.8895969686531174,0.868136410609714,0.8884257664485016,0.8886324491904926,0.8902514640027558,0.889114708921805
pc,0.2,0.8971408887357907,0.8815363417154668,0.9011367550809508,0.9004822597313125,0.9029968997588702,0.9043058904581468
pc,0.3,0.9068205304857045,0.8906303823630728,0.9090595935239408,0.9115053393041681,0.9068205304857043,0.9107475025835343
pc,0.4,0.9099896658629005,0.8996899758870134,0.9123665173957974,0.9141577678263865,0.9145022390630382,0.9131588012400964
pc,0.5,0.9123665173957974,0.9000688942473303,0.9151911815363418,0.9151567344126766,0.9146055804340338,0.916224595246297
pc,0.6,0.9117809162934896,0.9044436789528074,0.9194626248708234,0.9184981054081984,0.9186014467791939,0.920599379951774
pc,0.7,0.9188770237685153,0.8986221150533931,0.919428177747158,0.9177747158112298,0.9206338270754392,0.918635893902859
pc,0.8,0.9191870478815017,0.902583534274888,0.9225284188770237,0.9208405098174304,0.9213572166724079,0.9209438511884258
pc,0.9,0.9203238029624525,0.9037547364795039,0.9247330347915949,0.9214261109197383,0.9248019290389251,0.9225628660006888
pc,1.0,0.9222183947640371,0.9090251464002754,0.9250775060282466,0.9190837065105063,0.9226317602480194,0.9257320013778848
